,ML Model,Feature,Filter,Precision,Recall,Accuracy
0,Naive_Bayes,TFIDF,No_Filter,0.9313710302091402,0.9357198443579766,0.9364513734224202
1,Naive_Bayes,Frequency_Count,No_Filter,0.9451228938012057,0.9515953307392996,0.9505567928730512
2,Logistic_Regression,TFIDF,No_Filter,0.9832791453785416,0.9884824902723736,0.9864884929472902
3,Logistic_Regression,Frequency_Count,No_Filter,0.9956467661691543,0.9967315175097277,0.996362286562732
4,Random_Forest_30,TFIDF,No_Filter,0.9906512932377688,0.9895719844357976,0.9905716406829993
5,Random_Forest_30,Frequency_Count,No_Filter,0.9953190825401779,0.9928404669260701,0.9943578322197476
6,Naive_Bayes,TFIDF,Noun_Adjective,0.9233328053223507,0.9072373540856031,0.9198218262806236
7,Naive_Bayes,Frequency_Count,Noun_Adjective,0.9349074664964901,0.9120622568093385,0.9277654046028211
8,Logistic_Regression,TFIDF,Noun_Adjective,0.9695463020509634,0.9712062256809338,0.9717149220489978
9,Logistic_Regression,Frequency_Count,Noun_Adjective,0.9805673091991851,0.9738521400778211,0.9783221974758723
10,Random_Forest_30,TFIDF,Noun_Adjective,0.9756213392433117,0.9592217898832684,0.969116555308092
11,Random_Forest_30,Frequency_Count,Noun_Adjective,0.9732872407291012,0.9640466926070039,0.9702301410541945
12,Naive_Bayes,TFIDF,Noun,0.9106154089542794,0.895875486381323,0.9083890126206384
13,Naive_Bayes,Frequency_Count,Noun,0.9177025963808025,0.907704280155642,0.9171492204899777
14,Logistic_Regression,TFIDF,Noun,0.9528940886699507,0.9634241245136187,0.9598366740905716
15,Logistic_Regression,Frequency_Count,Noun,0.9703217744454858,0.9668482490272373,0.9700816629547142
16,Random_Forest_30,TFIDF,Noun,0.9631719166274878,0.9565758754863813,0.9618411284335561
17,Random_Forest_30,Frequency_Count,Noun,0.9654033653090108,0.9554863813229572,0.9624350408314774
18,Naive_Bayes,TFIDF,Noun_Verb,0.9173580089342693,0.8949416342412452,0.9114328136599852
19,Naive_Bayes,Frequency_Count,Noun_Verb,0.9262033790245457,0.9044357976653696,0.9200445434298441
20,Logistic_Regression,TFIDF,Noun_Verb,0.9605957182748992,0.9637354085603113,0.9638455827765404
21,Logistic_Regression,Frequency_Count,Noun_Verb,0.9746616304689959,0.9638910505836575,0.9708240534521159
22,Random_Forest_30,TFIDF,Noun_Verb,0.9656699889258029,0.9500389105058366,0.9600593912397921
23,Random_Forest_30,Frequency_Count,Noun_Verb,0.9674976333228148,0.9543968871595331,0.9629547141796585
24,Naive_Bayes,TFIDF,Verb_Adjective,0.9142049025769956,0.9055252918287938,0.9144023756495917
25,Naive_Bayes,Frequency_Count,Verb_Adjective,0.922120830711139,0.9122178988326848,0.921380846325167
26,Logistic_Regression,TFIDF,Verb_Adjective,0.937122502710237,0.9417898832684825,0.9420935412026726
27,Logistic_Regression,Frequency_Count,Verb_Adjective,0.9482297403619198,0.9378988326848249,0.9459539717891611
28,Random_Forest_30,TFIDF,Verb_Adjective,0.9349298881361273,0.9235797665369649,0.9328878990348923
29,Random_Forest_30,Frequency_Count,Verb_Adjective,0.929718875502008,0.9368093385214008,0.9360801781737194
