,ML Model,Feature,Filter,Precision,Recall,Accuracy
0,Naive_Bayes,TFIDF,No_Filter,0.9310237688364145,0.9327626459143968,0.9349665924276169
1,Naive_Bayes,Frequency_Count,No_Filter,0.946046511627907,0.949727626459144,0.9501855976243504
2,Logistic_Regression,TFIDF,No_Filter,0.9829721362229102,0.9883268482490273,0.9862657757980697
3,Logistic_Regression,Frequency_Count,No_Filter,0.9973565541906391,0.9982879377431907,0.9979213066072754
4,Random_Forest_30,TFIDF,No_Filter,0.9956188389923329,0.9903501945525292,0.9933184855233853
5,Random_Forest_30,Frequency_Count,No_Filter,0.9923652228108445,0.9912840466926071,0.9922048997772829
6,Naive_Bayes,TFIDF,Noun_Adjective,0.9202830188679245,0.9109727626459144,0.9198960653303637
7,Naive_Bayes,Frequency_Count,Noun_Adjective,0.9328593996840442,0.9190661478599221,0.9298440979955457
8,Logistic_Regression,TFIDF,Noun_Adjective,0.9658634538152611,0.9732295719844358,0.9708240534521159
9,Logistic_Regression,Frequency_Count,Noun_Adjective,0.9802600657997806,0.9738521400778211,0.978173719376392
10,Random_Forest_30,TFIDF,Noun_Adjective,0.9707455174583203,0.9606225680933852,0.9674090571640683
11,Random_Forest_30,Frequency_Count,Noun_Adjective,0.9687549065787407,0.9603112840466926,0.9662954714179659
12,Naive_Bayes,TFIDF,Noun,0.919262555626192,0.9002334630350195,0.9146993318485523
13,Naive_Bayes,Frequency_Count,Noun,0.9252292127726841,0.9109727626459144,0.9224201930215293
14,Logistic_Regression,TFIDF,Noun,0.9598884931082546,0.964669260700389,0.9639198218262807
15,Logistic_Regression,Frequency_Count,Noun,0.9702028081123245,0.9679377431906615,0.9705270972531551
16,Random_Forest_30,TFIDF,Noun,0.9678899082568807,0.9523735408560311,0.9622123236822568
17,Random_Forest_30,Frequency_Count,Noun,0.9677824925349677,0.9584435797665369,0.964959168522643
18,Naive_Bayes,TFIDF,Noun_Verb,0.9113183686373696,0.8972762645914397,0.9093541202672606
19,Naive_Bayes,Frequency_Count,Noun_Verb,0.9187234711523345,0.9095719844357977,0.9184855233853007
20,Logistic_Regression,TFIDF,Noun_Verb,0.9538272741217978,0.9677821011673152,0.962286562731997
21,Logistic_Regression,Frequency_Count,Noun_Verb,0.9711568444028688,0.9694941634241245,0.9717149220489978
22,Random_Forest_30,TFIDF,Noun_Verb,0.9624626982880478,0.9537743190661478,0.9602078693392725
23,Random_Forest_30,Frequency_Count,Noun_Verb,0.9654033653090108,0.9554863813229572,0.9624350408314774
24,Naive_Bayes,TFIDF,Verb_Adjective,0.9126396977805761,0.9024124513618677,0.912249443207127
25,Naive_Bayes,Frequency_Count,Verb_Adjective,0.9220717884130982,0.9115953307392997,0.9210838901262064
26,Logistic_Regression,TFIDF,Verb_Adjective,0.9384205578188656,0.9321400778210117,0.9384558277654046
27,Logistic_Regression,Frequency_Count,Verb_Adjective,0.9481774960380349,0.9312062256809338,0.9429101707498144
28,Random_Forest_30,TFIDF,Verb_Adjective,0.9360860623319095,0.9209338521400778,0.932293986636971
29,Random_Forest_30,Frequency_Count,Verb_Adjective,0.9355804063632068,0.9245136186770428,0.933630289532294
